formula,nC,nH,nO,maygen_total,maygen_canon,network_count,network_in_maygen,wikidata_count,wikidata_in_maygen,enwiki_count,enwiki_in_maygen,network_on_wikidata,network_on_enwiki
C4H8O5,4,8,5,3528,3528,0,0,7,7,1,1,0,0
C4H9O5,4,9,5,0,0,0,0,0,0,0,0,0,0
C4H10O5,4,10,5,655,655,0,0,0,0,0,0,0,0
C4O6,4,0,6,932,929,0,0,1,1,1,1,0,0
C4HO6,4,1,6,0,0,0,0,0,0,0,0,0,0
C4H2O6,4,2,6,9986,9974,0,0,2,2,1,1,0,0
C4H3O6,4,3,6,0,0,0,0,0,0,0,0,0,0
C4H4O6,4,4,6,21975,21967,0,0,6,6,0,0,0,0
C4H5O6,4,5,6,0,0,0,0,0,0,0,0,0,0
C4H6O6,4,6,6,20050,20050,0,0,4,4,1,1,0,0
C4H7O6,4,7,6,0,0,0,0,0,0,0,0,0,0
C4H8O6,4,8,6,8738,8738,0,0,0,0,0,0,0,0
C4H9O6,4,9,6,0,0,0,0,0,0,0,0,0,0
C4H10O6,4,10,6,1579,1579,0,0,1,1,0,0,0,0
