formula,nC,nH,nO,wikidata_id,wikidata_name,smiles,canon_smiles,inchi,cas,sitelinks,on_enwiki,enwiki_title
C5H10O4,5,10,4,Q81990561,"Propanal, 3-hydroxy-2,2-bis(hydroxymethyl)-",C(C(CO)(CO)C=O)O,O=CC(CO)(CO)CO,"InChI=1S/C5H10O4/c6-1-5(2-7,3-8)4-9/h1,7-9H,2-4H2",3818-32-4,0,False,
C5H10O4,5,10,4,Q82006081,"3,5-Dimethyl-1,2-dioxolane-3,5-diol",CC1(O)CC(C)(O)OO1,CC1(O)CC(C)(O)OO1,"InChI=1S/C5H10O4/c1-4(6)3-5(2,7)9-8-4/h6-7H,3H2,1-2H3",13784-51-5,0,False,
C5H10O4,5,10,4,Q82010482,2-hydroxy-3-methoxybutanoic acid,COC(C)C(O)C(=O)O,COC(C)C(O)C(=O)O,"InChI=1S/C5H10O4/c1-3(9-2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)",5405-44-7,0,False,
C5H8O4,5,8,4,Q82052258,"2-methyl-1,3-dioxolane-2-carboxylic acid",CC1(OCCO1)C(=O)O,CC1(C(=O)O)OCCO1,"InChI=1S/C5H8O4/c1-5(4(6)7)8-2-3-9-5/h2-3H2,1H3,(H,6,7)",5736-04-9,0,False,
C5H10O4,5,10,4,Q82065621,"3,5-dihydroxypentanoic acid",O=C(O)CC(O)CCO,O=C(O)CC(O)CCO,"InChI=1S/C5H10O4/c6-2-1-4(7)3-5(8)9/h4,6-7H,1-3H2,(H,8,9)",83120-70-1,0,False,
C5H8O4,5,8,4,Q82104578,Methyl acetoxyacetate,CC(=O)OCC(=O)OC,COC(=O)COC(C)=O,"InChI=1S/C5H8O4/c1-4(6)9-3-5(7)8-2/h3H2,1-2H3",5837-80-9,0,False,
C5H8O4,5,8,4,Q82119246,"2-Propenoic acid, 3-hydroxy-3-methoxy-, methyl ester",COC(=O)C=C(O)OC,COC(=O)C=C(O)OC,"InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3,6H,1-2H3",75151-39-2,0,False,
C5H8O4,5,8,4,Q82206158,"4-(methoxymethyl)-1,3-dioxolan-2-one",COCC1COC(=O)O1,COCC1COC(=O)O1,"InChI=1S/C5H8O4/c1-7-2-4-3-8-5(6)9-4/h4H,2-3H2,1H3",40492-31-7,0,False,
C5H8O4,5,8,4,Q82209069,"1,3-dioxane-5-carboxylic Acid",C1C(COCO1)C(=O)O,O=C(O)C1COCOC1,"InChI=1S/C5H8O4/c6-5(7)4-1-8-3-9-2-4/h4H,1-3H2,(H,6,7)",5703-44-6,0,False,
C5H8O4,5,8,4,Q82218714,"1,4-dioxane-2-carboxylic Acid",O=C(O)C1COCCO1,O=C(O)C1COCCO1,"InChI=1S/C5H8O4/c6-5(7)4-3-8-1-2-9-4/h4H,1-3H2,(H,6,7)",89364-41-0,0,False,
C5H10O4,5,10,4,Q82222310,"2-methyloxolane-2,3,4-triol",CC1(O)OCC(O)C1O,CC1(O)OCC(O)C1O,"InChI=1S/C5H10O4/c1-5(8)4(7)3(6)2-9-5/h3-4,6-8H,2H2,1H3",6917-77-7,0,False,
C5H10O4,5,10,4,Q82225102,"(S)-methyl 3,4-dihydroxybutanoate",COC(=O)CC(O)CO,COC(=O)CC(O)CO,"InChI=1S/C5H10O4/c1-9-5(8)2-4(7)3-6/h4,6-7H,2-3H2,1H3/t4-/m0/s1",90414-36-1,0,False,
C5H8O4,5,8,4,Q82249981,"Pentanoic acid, 5-hydroxy-4-oxo-",C(CC(=O)O)C(=O)CO,O=C(O)CCC(=O)CO,"InChI=1S/C5H8O4/c6-3-4(7)1-2-5(8)9/h6H,1-3H2,(H,8,9)",15925-30-1,0,False,
C5H8O4,5,8,4,Q82250582,2-Hydroxy-4-oxopentanoic acid,CC(=O)CC(O)C(=O)O,CC(=O)CC(O)C(=O)O,"InChI=1S/C5H8O4/c1-3(6)2-4(7)5(8)9/h4,7H,2H2,1H3,(H,8,9)",54031-97-9,0,False,
C5H10O4,5,10,4,Q82254626,"3,3-dimethoxypropanoic Acid",COC(CC(=O)O)OC,COC(CC(=O)O)OC,"InChI=1S/C5H10O4/c1-8-5(9-2)3-4(6)7/h5H,3H2,1-2H3,(H,6,7)",6191-98-6,0,False,
C5H10O4,5,10,4,Q82263632,"2,3,4-Furantriol, tetrahydro-3-methyl-, (3R,4R)-",CC1(O)C(O)COC1O,CC1(O)C(O)COC1O,"InChI=1S/C5H10O4/c1-5(8)3(6)2-9-4(5)7/h3-4,6-8H,2H2,1H3/t3-,4?,5-/m1/s1",258518-32-0,0,False,
C5H10O4,5,10,4,Q82282548,"Propanoic acid, 2,3-dimethoxy-",COCC(OC)C(=O)O,COCC(OC)C(=O)O,"InChI=1S/C5H10O4/c1-8-3-4(9-2)5(6)7/h4H,3H2,1-2H3,(H,6,7)",154444-99-2,0,False,
C5H10O4,5,10,4,Q82284455,"Propanoic acid, 3-(methoxymethoxy)-",COCOCCC(=O)O,COCOCCC(=O)O,"InChI=1S/C5H10O4/c1-8-4-9-3-2-5(6)7/h2-4H2,1H3,(H,6,7)",207124-07-0,0,False,
C5H8O4,5,8,4,Q82289121,SCHEMBL15366478,CC1OC(=O)C(O)C1O,CC1OC(=O)C(O)C1O,"InChI=1S/C5H8O4/c1-2-3(6)4(7)5(8)9-2/h2-4,6-7H,1H3/t2-,3-,4+/m0/s1",76647-70-6,0,False,
C5H10O4,5,10,4,Q82347680,Methyl 2-hydroperoxy-2-methylpropanoate,CC(C)(C(=O)OC)OO,COC(=O)C(C)(C)OO,"InChI=1S/C5H10O4/c1-5(2,9-7)4(6)8-3/h7H,1-3H3",64771-67-1,0,False,
C5H10O4,5,10,4,Q82363484,"Ethyl 2,3-dihydroxypropanoate",CCOC(=O)C(O)CO,CCOC(=O)C(O)CO,"InChI=1S/C5H10O4/c1-2-9-5(8)4(7)3-6/h4,6-7H,2-3H2,1H3",615-51-0,0,False,
C5H8O4,5,8,4,Q82371549,"1,4,6,9-Tetraoxaspiro[4.4]nonane",C1COC2(O1)OCCO2,C1COC2(O1)OCCO2,InChI=1S/C5H8O4/c1-2-7-5(6-1)8-3-4-9-5/h1-4H2,24471-99-6,0,False,
C5H10O4,5,10,4,Q82379198,"2,2-Dimethoxypropanoic acid",CC(C(=O)O)(OC)OC,COC(C)(OC)C(=O)O,"InChI=1S/C5H10O4/c1-5(8-2,9-3)4(6)7/h1-3H3,(H,6,7)",85515-87-3,0,False,
C5H10O4,5,10,4,Q82382708,"2,5-Dihydroxypentanoic acid",O=C(O)C(O)CCCO,O=C(O)C(O)CCCO,"InChI=1S/C5H10O4/c6-3-1-2-4(7)5(8)9/h4,6-7H,1-3H2,(H,8,9)",21577-52-6,0,False,
C5H10O4,5,10,4,Q82389449,"4,5-Dihydroxypentanoic acid",O=C(O)CCC(O)CO,O=C(O)CCC(O)CO,"InChI=1S/C5H10O4/c6-3-4(7)1-2-5(8)9/h4,6-7H,1-3H2,(H,8,9)",66679-29-6,0,False,
C5H10O4,5,10,4,Q82391467,"3-Ethoxy-3-methyl-1,2,4-trioxolane",CCOC1(C)OCOO1,CCOC1(C)OCOO1,"InChI=1S/C5H10O4/c1-3-6-5(2)7-4-8-9-5/h3-4H2,1-2H3",90150-49-5,0,False,
C5H8O4,5,8,4,Q82411134,"2,5-Anhydro-3-deoxypentonic acid",O=C(O)C1CC(O)CO1,O=C(O)C1CC(O)CO1,"InChI=1S/C5H8O4/c6-3-1-4(5(7)8)9-2-3/h3-4,6H,1-2H2,(H,7,8)",2208-94-8,0,False,
C5H8O4,5,8,4,Q82425037,"6-(Hydroxymethyl)-1,4-dioxan-2-one",O=C1COCC(CO)O1,O=C1COCC(CO)O1,"InChI=1S/C5H8O4/c6-1-4-2-8-3-5(7)9-4/h4,6H,1-3H2",112165-62-5,0,False,
C5H8O4,5,8,4,Q82433513,Methoxymethyl 2-oxopropanoate,CC(=O)C(=O)OCOC,COCOC(=O)C(C)=O,"InChI=1S/C5H8O4/c1-4(6)5(7)9-3-8-2/h3H2,1-2H3",99613-33-9,0,False,
C5H10O4,5,10,4,Q82436453,"Methyl (2S,3R)-2,3-dihydroxybutanoate",COC(=O)C(O)C(C)O,COC(=O)C(O)C(C)O,"InChI=1S/C5H10O4/c1-3(6)4(7)5(8)9-2/h3-4,6-7H,1-2H3/t3-,4+/m1/s1",38410-83-2,0,False,
C5H10O4,5,10,4,Q82437692,"1,3,4-trihydroxy-3-methylbutan-2-one",CC(O)(CO)C(=O)CO,CC(O)(CO)C(=O)CO,"InChI=1S/C5H10O4/c1-5(9,3-7)4(8)2-6/h6-7,9H,2-3H2,1H3",119715-46-7,0,False,
C5H8O4,5,8,4,Q82441198,"3,4-Dihydroxy-2-methylidenebutanoic acid",C=C(C(=O)O)C(O)CO,C=C(C(=O)O)C(O)CO,"InChI=1S/C5H8O4/c1-3(5(8)9)4(7)2-6/h4,6-7H,1-2H2,(H,8,9)",24923-78-2,0,False,
C5H8O4,5,8,4,Q82442617,Methoxy(2-oxoethoxy)acetaldehyde,COC(C=O)OCC=O,COC(C=O)OCC=O,"InChI=1S/C5H8O4/c1-8-5(4-7)9-3-2-6/h2,4-5H,3H2,1H3",34786-50-0,0,False,
C5H10O4,5,10,4,Q82465062,"5-Methyl-1,4-dioxane-2,3-diol",CC1COC(O)C(O)O1,CC1COC(O)C(O)O1,"InChI=1S/C5H10O4/c1-3-2-8-4(6)5(7)9-3/h3-7H,2H2,1H3",32909-97-0,0,False,
C5H10O4,5,10,4,Q82486460,2-Hydroxy-3-methoxy-2-methylpropanoic acid,COCC(C)(O)C(=O)O,COCC(C)(O)C(=O)O,"InChI=1S/C5H10O4/c1-5(8,3-9-2)4(6)7/h8H,3H2,1-2H3,(H,6,7)",672314-91-9,0,False,
C5H8O4,5,8,4,Q82488083,4-Methoxy-3-oxobutanoic acid,COCC(=O)CC(=O)O,COCC(=O)CC(=O)O,"InChI=1S/C5H8O4/c1-9-3-4(6)2-5(7)8/h2-3H2,1H3,(H,7,8)",68665-45-2,0,False,
C5H10O4,5,10,4,Q82490682,"2,2-Dihydroxypentanoic acid",CCCC(C(=O)O)(O)O,CCCC(O)(O)C(=O)O,"InChI=1S/C5H10O4/c1-2-3-5(8,9)4(6)7/h8-9H,2-3H2,1H3,(H,6,7)",189314-60-1,0,False,
C5H10O4,5,10,4,Q82513472,"3,4-Dihydroxy-3-(hydroxymethyl)butan-2-one",CC(=O)C(CO)(CO)O,CC(=O)C(O)(CO)CO,"InChI=1S/C5H10O4/c1-4(8)5(9,2-6)3-7/h6-7,9H,2-3H2,1H3",6784-03-8,0,False,
C5H8O4,5,8,4,Q82515397,4-Oxopentaneperoxoic acid,CC(=O)CCC(=O)OO,CC(=O)CCC(=O)OO,"InChI=1S/C5H8O4/c1-4(6)2-3-5(7)9-8/h8H,2-3H2,1H3",99419-42-8,0,False,
C5H10O4,5,10,4,Q82517130,"3-(Hydroxymethyl)-1,4-dioxan-2-ol",OCC1OCCOC1O,OCC1OCCOC1O,"InChI=1S/C5H10O4/c6-3-4-5(7)9-2-1-8-4/h4-7H,1-3H2",56886-08-9,0,False,
C5H10O4,5,10,4,Q82521978,"2,4-Dihydroxy-2-methylbutanoic acid",CC(O)(CCO)C(=O)O,CC(O)(CCO)C(=O)O,"InChI=1S/C5H10O4/c1-5(9,2-3-6)4(7)8/h6,9H,2-3H2,1H3,(H,7,8)",98259-03-1,0,False,
C5H10O4,5,10,4,Q82526846,"2,2-Dimethoxy-1,3-dioxolane",COC1(OCCO1)OC,COC1(OC)OCCO1,"InChI=1S/C5H10O4/c1-6-5(7-2)8-3-4-9-5/h3-4H2,1-2H3",66747-32-8,0,False,
C5H10O4,5,10,4,Q82528283,[(Ethoxycarbonyl)peroxy]ethane,CCOC(=O)OOCC,CCOOC(=O)OCC,"InChI=1S/C5H10O4/c1-3-7-5(6)9-8-4-2/h3-4H2,1-2H3",5166-06-3,0,False,
C5H10O4,5,10,4,Q82537928,[(1-Hydroxypropan-2-yl)oxy]acetic acid,CC(CO)OCC(=O)O,CC(CO)OCC(=O)O,"InChI=1S/C5H10O4/c1-4(2-6)9-3-5(7)8/h4,6H,2-3H2,1H3,(H,7,8)",532927-06-3,0,False,
